Source,Target,Type,id,label,timeset,weight
Fingerprint,Breach,Directed,1291,,,1.0
Fingerprint,Records,Directed,1292,,,33.0
Fingerprint,Data,Directed,1293,,,14.0
Affected,Opm,Directed,1294,,,13.0
Affected,Million,Directed,1295,,,161.0
Affected,Hack,Directed,1296,,,3.0
Affected,Http,Directed,1297,,,7.0
Affected,Millions,Directed,1299,,,1.0
Affected,Americans,Directed,1300,,,40.0
Affected,Breach,Directed,1301,,,60.0
Affected,Includes,Directed,1302,,,39.0
Affected,Government,Directed,1303,,,1.0
Affected,Data,Directed,1304,,,2.0
Hackers,Stole,Directed,1305,,,125.0
Hackers,Million,Directed,1306,,,23.0
Hackers,Affected,Directed,1309,,,4.0
Hackers,Personal,Directed,1310,,,3.0
Hackers,Opm,Directed,1311,,,1.0
Hackers,Federal,Directed,1312,,,1.0
Hackers,Stolen,Directed,1313,,,4.0
Information,Employee,Directed,1317,,,3.0
Information,Opm,Directed,1318,,,2.0
Information,Million,Directed,1319,,,3.0
Information,Security,Directed,1320,,,1.0
Information,Compromised,Directed,1322,,,9.0
Information,Stolen,Directed,1323,,,12.0
Information,Government,Directed,1324,,,1.0
Americans,Fingerprints,Directed,1326,,,1.0
Americans,Info,Directed,1327,,,1.0
Americans,Compromised,Directed,1328,,,7.0
Americans,Affected,Directed,1329,,,3.0
Americans,Personal,Directed,1330,,,3.0
Time,Federal,Directed,1334,,,6.0
Million,Fingerprint,Directed,1335,,,4.0
Million,Time,Directed,1336,,,5.0
Million,Americans,Directed,1338,,,46.0
Million,Affected,Directed,1339,,,87.0
Million,Opm,Directed,1340,,,5.0
Million,Fingerprints,Directed,1341,,,177.0
Million,Info,Directed,1342,,,1.0
Million,Federal,Directed,1343,,,203.0
Million,People,Directed,1344,,,333.0
Million,Compromised,Directed,1345,,,32.0
Million,Million,Directed,1346,,,15.0
Million,Stolen,Directed,1347,,,3.0
Million,Personal,Directed,1348,,,1.0
Million,Records,Directed,1349,,,62.0
Million,Employees,Directed,1352,,,1.0
Million,Includes,Directed,1353,,,5.0
Million,Government,Directed,1354,,,30.0
Million,Workers,Directed,1355,,,90.0
Million,Data,Directed,1356,,,13.0
Data,Stole,Directed,1357,,,1.0
Data,Million,Directed,1358,,,34.0
Data,Hack,Directed,1360,,,13.0
Data,Employee,Directed,1361,,,1.0
Data,Federal,Directed,1363,,,10.0
Data,Stolen,Directed,1364,,,56.0
Data,Breach,Directed,1365,,,54.0
Data,Government,Directed,1367,,,4.0
Applied,Federal,Directed,1370,,,187.0
Fingerprints,Opm,Directed,1372,,,5.0
Fingerprints,Million,Directed,1373,,,11.0
Fingerprints,Security,Directed,1375,,,43.0
Fingerprints,Stolen,Directed,1377,,,309.0
Fingerprints,Compromised,Directed,1378,,,2.0
Fingerprints,Dna,Directed,1379,,,274.0
Fingerprints,Hackers,Directed,1381,,,1.0
Info,Employee,Directed,1382,,,2.0
Info,Million,Directed,1384,,,23.0
Info,Includes,Directed,1385,,,44.0
Info,Compromised,Directed,1388,,,24.0
Info,Stolen,Directed,1389,,,26.0
Federal,Cybersecurity,Directed,1391,,,30.0
Federal,Affected,Directed,1394,,,1.0
Federal,Employee,Directed,1395,,,93.0
Federal,Employees,Directed,1397,,,394.0
Federal,Hack,Directed,1399,,,19.0
Federal,Government,Directed,1401,,,513.0
Federal,Workers,Directed,1402,,,34.0
Federal,Data,Directed,1403,,,5.0
People,Stole,Directed,1404,,,1.0
People,Million,Directed,1405,,,1.0
People,Fingerprints,Directed,1406,,,9.0
People,Stolen,Directed,1408,,,5.0
People,Personal,Directed,1409,,,7.0
People,Affected,Directed,1410,,,110.0
People,Federal,Directed,1413,,,9.0
People,Records,Directed,1415,,,1.0
People,Compromised,Directed,1416,,,1.0
People,Government,Directed,1417,,,109.0
People,Data,Directed,1418,,,3.0
Breach,Opm,Directed,1422,,,2.0
Breach,Million,Directed,1423,,,3.0
Breach,Federal,Directed,1425,,,5.0
Breach,People,Directed,1426,,,1.0
Breach,Affected,Directed,1427,,,13.0
Breach,Government,Directed,1428,,,6.0
Compromised,Million,Directed,1431,,,5.0
Compromised,Federal,Directed,1434,,,1.0
Compromised,Opm,Directed,1435,,,1.0
Compromised,Breach,Directed,1436,,,7.0
Compromised,Data,Directed,1438,,,1.0
Moms,Ssn,Directed,1440,,,275.0
Fbi,Million,Directed,1442,,,7.0
Fbi,Workers,Directed,1444,,,10.0
Stole,Fingerprint,Directed,1445,,,1.0
Stole,Million,Directed,1446,,,12.0
Stole,Fingerprints,Directed,1447,,,2.0
Stole,Federal,Directed,1448,,,4.0
Stole,Secrets,Directed,1449,,,71.0
Stole,Personal,Directed,1451,,,18.0
Stole,Data,Directed,1452,,,3.0
Cybersecurity,Federal,Directed,1453,,,1.0
Give,Million,Directed,1454,,,113.0
Secrets,Government,Directed,1457,,,72.0
Chinese,Government,Directed,1459,,,13.0
Chinese,Hackers,Directed,1462,,,20.0
Chinese,Hack,Directed,1463,,,5.0
Opm,Fingerprint,Directed,1464,,,2.0
Opm,Million,Directed,1465,,,10.0
Opm,Fingerprints,Directed,1466,,,2.0
Opm,Hack,Directed,1468,,,82.0
Opm,Cybersecurity,Directed,1470,,,1.0
Opm,Federal,Directed,1472,,,5.0
Opm,Breach,Directed,1474,,,6.0
Opm,Data,Directed,1475,,,8.0
Opm,Government,Directed,1476,,,2.0
Opm,Hackers,Directed,1477,,,15.0
Security,Federal,Directed,1479,,,2.0
Security,Stolen,Directed,1480,,,1.0
Security,Chinese,Directed,1481,,,2.0
Security,Government,Directed,1483,,,4.0
Employees,Opm,Directed,1484,,,3.0
Employees,Fingerprints,Directed,1485,,,179.0
Employees,Stolen,Directed,1488,,,65.0
Employees,Chinese,Directed,1489,,,25.0
Employees,Affected,Directed,1491,,,14.0
Employees,Data,Directed,1493,,,18.0
Employees,Personal,Directed,1494,,,8.0
Government,Cybersecurity,Directed,1497,,,50.0
Government,Fingerprints,Directed,1498,,,1.0
Government,Secrets,Directed,1500,,,1.0
Government,Hack,Directed,1502,,,25.0
Government,Employee,Directed,1503,,,45.0
Government,Employees,Directed,1506,,,145.0
Government,Week,Directed,1507,,,223.0
Government,Federal,Directed,1508,,,3.0
Government,Job,Directed,1509,,,188.0
Government,Http,Directed,1510,,,2.0
Government,Breach,Directed,1511,,,1.0
Government,Workers,Directed,1514,,,88.0
Government,Data,Directed,1515,,,14.0
Employee,Fingerprints,Directed,1516,,,3.0
Employee,Stolen,Directed,1517,,,2.0
Employee,Affected,Directed,1518,,,2.0
Employee,Information,Directed,1520,,,26.0
Employee,Records,Directed,1521,,,16.0
Employee,Hack,Directed,1523,,,1.0
Employee,Address,Directed,1524,,,5.0
Employee,Info,Directed,1525,,,1.0
Employee,Personal,Directed,1526,,,1.0
Employee,Data,Directed,1527,,,25.0
Millions,Fingerprints,Directed,1528,,,1.0
Millions,Records,Directed,1529,,,2.0
Millions,Federal,Directed,1530,,,2.0
Millions,Millions,Directed,1531,,,59.0
Millions,People,Directed,1533,,,9.0
Millions,Affected,Directed,1534,,,60.0
Millions,Government,Directed,1535,,,1.0
Millions,Workers,Directed,1536,,,1.0
Records,Million,Directed,1537,,,5.0
Records,Stolen,Directed,1539,,,15.0
Records,Compromised,Directed,1540,,,25.0
Records,Affected,Directed,1541,,,10.0
Week,Affected,Directed,1544,,,114.0
Week,Give,Directed,1545,,,114.0
Hack,Opm,Directed,1547,,,3.0
Hack,Million,Directed,1548,,,13.0
Hack,Affected,Directed,1549,,,5.0
Hack,Security,Directed,1550,,,6.0
Hack,Federal,Directed,1551,,,4.0
Hack,Millions,Directed,1552,,,7.0
Hack,Government,Directed,1555,,,13.0
Address,Ssn,Directed,1557,,,276.0
Stolen,Million,Directed,1559,,,12.0
Stolen,Fingerprints,Directed,1560,,,15.0
Stolen,Information,Directed,1561,,,2.0
Stolen,Chinese,Directed,1564,,,6.0
Stolen,Hack,Directed,1565,,,29.0
Stolen,Http,Directed,1566,,,13.0
Stolen,Data,Directed,1567,,,7.0
Stolen,Personal,Directed,1568,,,1.0
Stolen,Opm,Directed,1569,,,12.0
Stolen,Records,Directed,1570,,,2.0
Stolen,Federal,Directed,1571,,,1.0
Stolen,Info,Directed,1573,,,58.0
Stolen,Breach,Directed,1574,,,7.0
Stolen,Government,Directed,1576,,,9.0
Stolen,Hackers,Directed,1577,,,13.0
Includes,Fingerprint,Directed,1578,,,1.0
Includes,Million,Directed,1580,,,49.0
Personal,Information,Directed,1582,,,25.0
Personal,Info,Directed,1584,,,57.0
Personal,Data,Directed,1585,,,23.0
Personal,Stolen,Directed,1586,,,2.0
Workers,Stolen,Directed,1589,,,89.0
Workers,Compromised,Directed,1590,,,2.0
Workers,Affected,Directed,1591,,,2.0
Workers,Data,Directed,1593,,,2.0
Ssn,Fingerprints,Directed,1594,,,275.0
Ssn,Moms,Directed,1595,,,275.0
